Year,Year ending,AFM Sex,AFM Age Group,AFM Counter,"Rate per 100,000 population"
2023,June,Males,40-44 years,2334,"1,013.1"
2023,June,Males,45-49 years,2056,"1,010.0"
2023,June,Males,50-54 years,1988,961.7
2023,June,Males,55-59 years,1552,835.4
2023,June,Males,60-64 years,1020,566.7
2023,June,Males,65-69 years,667,428.7
2023,June,Males,70-74 years,552,414.4
2023,June,Males,75 years and over,713,307.2
2023,June,Males,Total,23406,694.3
2023,June,People,00-04 years,449,116.2
2023,June,People,05-09 years,1308,319.8
2023,June,People,10-14 years,3223,787.2
2023,June,People,15-17 years,3522,"1,472.1"
2023,June,People,18-19 years,2584,"1,586.2"
2023,June,People,20-24 years,8051,"1,774.5"
2023,June,People,25-29 years,10204,"1,976.9"
2023,June,People,30-34 years,11622,"2,175.9"
2023,June,People,35-39 years,11852,"2,278.8"
2023,June,People,40-44 years,10557,"2,272.5"
2023,June,People,45-49 years,8429,"2,041.9"
2023,June,People,50-54 years,7069,"1,665.4"
2023,June,People,55-59 years,4518,"1,184.5"
2023,June,People,60-64 years,2946,791.0
2023,June,People,65-69 years,1981,606.4
2023,June,People,70-74 years,1628,576.8
2023,June,People,75 years and over,2164,415.6
2023,June,People,Total,93115,"1,366.1"
2022,June,Females,00-04 years,179,95.0
2022,June,Females,05-09 years,467,235.8
2022,June,Females,10-14 years,1827,933.1
2022,June,Females,15-17 years,2319,"2,081.7"
2022,June,Females,18-19 years,2096,"2,830.1"
2022,June,Females,20-24 years,6205,"3,014.3"
2022,June,Females,25-29 years,8294,"3,446.2"
2022,June,Females,30-34 years,9335,"3,570.8"
2022,June,Females,35-39 years,8984,"3,541.6"
2022,June,Females,40-44 years,7770,"3,474.7"
2022,June,Females,45-49 years,6279,"3,007.4"
2022,June,Females,50-54 years,4994,"2,328.7"
2022,June,Females,55-59 years,2941,"1,505.3"
2022,June,Females,60-64 years,1823,962.3
2022,June,Females,65-69 years,1236,738.7
2022,June,Females,70-74 years,939,638.4
2022,June,Females,75 years and over,1227,442.2
2022,June,Females,Total,67677,"2,018.5"
2022,June,Males,00-04 years,207,105.1
2022,June,Males,05-09 years,577,275.4
2022,June,Males,10-14 years,1049,508.5
2022,June,Males,15-17 years,875,742.0
2022,June,Males,18-19 years,696,892.5
2022,June,Males,20-24 years,1914,870.6
2022,June,Males,25-29 years,2165,867.9
2022,June,Males,30-34 years,2115,834.0
2022,June,Males,35-39 years,2330,929.8
2022,June,Males,40-44 years,2113,965.6
2022,June,Males,45-49 years,2181,"1,074.4"
2022,June,Males,50-54 years,1964,962.5
2022,June,Males,55-59 years,1523,819.3
2022,June,Males,60-64 years,987,558.4
2022,June,Males,65-69 years,748,489.8
2022,June,Males,70-74 years,500,378.0
2022,June,Males,75 years and over,600,270.1
2022,June,Males,Total,22763,694.5
2022,June,People,00-04 years,388,100.7
2022,June,People,05-09 years,1046,256.6
2022,June,People,10-14 years,2879,716.0
2022,June,People,15-17 years,3198,"1,394.5"
2022,June,People,18-19 years,2793,"1,836.9"
2022,June,People,20-24 years,8123,"1,908.1"
2022,June,People,25-29 years,10466,"2,135.3"
2022,June,People,30-34 years,11454,"2,224.0"
2022,June,People,35-39 years,11320,"2,244.9"
2022,June,People,40-44 years,9888,"2,234.8"
2022,June,People,45-49 years,8464,"2,055.5"
2022,June,People,50-54 years,6961,"1,663.3"
2022,June,People,55-59 years,4471,"1,172.7"
2022,June,People,60-64 years,2814,768.4
2022,June,People,65-69 years,1986,620.5
2022,June,People,70-74 years,1445,517.3
2022,June,People,75 years and over,1839,368.1
2022,June,People,Total,90541,"1,365.5"
2021,June,Females,00-04 years,240,127.4
2021,June,Females,05-09 years,544,274.6
2021,June,Females,10-14 years,1817,937.8
2021,June,Females,15-17 years,2375,"2,211.5"
2021,June,Females,18-19 years,2187,"3,070.6"
2021,June,Females,20-24 years,7005,"3,449.1"
2021,June,Females,25-29 years,8684,"3,608.2"
2021,June,Females,30-34 years,9450,"3,652.5"
2021,June,Females,35-39 years,9264,"3,714.6"
2021,June,Females,40-44 years,7774,"3,586.1"
2021,June,Females,45-49 years,6836,"3,216.8"
2021,June,Females,50-54 years,4786,"2,288.5"
2021,June,Females,55-59 years,2917,"1,482.3"
2021,June,Females,60-64 years,1859,994.5
2021,June,Females,65-69 years,1249,760.1
2021,June,Females,70-74 years,889,604.2
2021,June,Females,75 years and over,1159,436.0
2021,June,Females,Total,69850,"2,110.1"
2021,June,Males,00-04 years,259,131.0
2021,June,Males,05-09 years,600,286.2
2021,June,Males,10-14 years,1065,520.3
2021,June,Males,15-17 years,956,840.7
2021,June,Males,18-19 years,690,918.7
2021,June,Males,20-24 years,1928,885.0
2021,June,Males,25-29 years,2287,925.6
2021,June,Males,30-34 years,2285,906.3
2021,June,Males,35-39 years,2407,978.7
2021,June,Males,40-44 years,2234,"1,055.9"
2021,June,Males,45-49 years,2300,"1,117.7"
2021,June,Males,50-54 years,1953,978.1
2021,June,Males,55-59 years,1437,766.1
2021,June,Males,60-64 years,939,540.5
2021,June,Males,65-69 years,751,499.0
2021,June,Males,70-74 years,496,371.9
2021,June,Males,75 years and over,645,304.8
2021,June,Males,Total,23495,725.7
2021,June,People,00-04 years,500,129.5
2021,June,People,05-09 years,1144,280.6
2021,June,People,10-14 years,2887,724.6
2021,June,People,15-17 years,3335,"1,508.3"
2021,June,People,18-19 years,2878,"1,966.8"
2021,June,People,20-24 years,8935,"2,122.5"
2021,June,People,25-29 years,10972,"2,249.5"
2021,June,People,30-34 years,11737,"2,297.6"
2021,June,People,35-39 years,11681,"2,358.2"
2021,June,People,40-44 years,10011,"2,337.0"
2021,June,People,45-49 years,9143,"2,185.8"
2021,June,People,50-54 years,6745,"1,650.0"
2021,June,People,55-59 years,4357,"1,133.6"
2021,June,People,60-64 years,2803,777.2
2021,June,People,65-69 years,2007,637.5
2021,June,People,70-74 years,1394,497.0
2021,June,People,75 years and over,1811,379.3
2021,June,People,Total,93439,"1,427.0"
